date,product,category,sales,units_sold,region,customer_age
2024-02-09,One-time Report,One-time,447,3,South,69
2024-02-10,Dashboard Add-on,Add-on,588,12,West,62
2024-02-10,Pro Plan,Subscription,99,1,North,33
2024-02-11,Analytics Pack,Add-on,237,3,South,67
2024-02-11,One-time Report,One-time,447,3,East,55
2024-02-12,Dashboard Add-on,Add-on,392,8,West,71
2024-02-12,Analytics Pack,Add-on,474,6,South,58
2024-02-13,Basic Plan,Subscription,29,1,North,22
2024-02-13,One-time Report,One-time,447,3,West,65
2024-02-14,Dashboard Add-on,Add-on,392,8,South,68
2024-02-14,Analytics Pack,Add-on,237,3,East,60
2024-02-15,Pro Plan,Subscription,198,2,North,35
2024-02-15,One-time Report,One-time,447,3,South,73
2024-02-16,Dashboard Add-on,Add-on,588,12,West,61
2024-02-16,Analytics Pack,Add-on,474,6,East,55
2024-02-17,Basic Plan,Subscription,58,2,North,26
2024-02-17,One-time Report,One-time,447,3,South,67
2024-02-18,Dashboard Add-on,Add-on,392,8,West,62
2024-02-19,Analytics Pack,Add-on,237,3,South,70
2024-02-19,One-time Report,One-time,447,3,East,58
2024-02-20,Dashboard Add-on,Add-on,392,8,West,64
2024-02-20,Pro Plan,Subscription,99,1,North,30
2024-02-21,Analytics Pack,Add-on,474,6,South,68
2024-02-21,One-time Report,One-time,447,3,West,56
2024-02-22,Dashboard Add-on,Add-on,588,12,East,71
2024-02-22,Basic Plan,Subscription,29,1,North,23
2024-02-23,Analytics Pack,Add-on,237,3,South,65
2024-02-23,One-time Report,One-time,447,3,West,60
2024-02-24,Dashboard Add-on,Add-on,392,8,South,69
2024-02-25,Analytics Pack,Add-on,474,6,East,57
2024-02-25,Pro Plan,Subscription,198,2,North,37
2024-02-26,One-time Report,One-time,447,3,South,72
2024-02-27,Dashboard Add-on,Add-on,392,8,West,63
2024-02-28,Analytics Pack,Add-on,237,3,East,58
2024-02-29,Basic Plan,Subscription,29,1,North,25
2024-03-01,Dashboard Add-on,Add-on,196,4,South,62
2024-03-01,Analytics Pack,Add-on,237,3,West,55
2024-03-02,One-time Report,One-time,447,3,South,68
2024-03-02,Dashboard Add-on,Add-on,196,4,East,60
2024-03-03,Analytics Pack,Add-on,158,2,West,65
2024-03-03,Basic Plan,Subscription,29,1,North,24
2024-03-04,One-time Report,One-time,149,1,South,71
2024-03-04,Dashboard Add-on,Add-on,196,4,West,57
2024-03-05,Analytics Pack,Add-on,237,3,East,63
2024-03-05,Pro Plan,Subscription,99,1,North,31
2024-03-06,One-time Report,One-time,447,3,South,67
2024-03-06,Dashboard Add-on,Add-on,196,4,West,58
2024-03-07,Analytics Pack,Add-on,158,2,South,72
2024-03-07,Basic Plan,Subscription,29,1,North,26
2024-03-08,One-time Report,One-time,149,1,East,65
2024-03-08,Dashboard Add-on,Add-on,196,4,West,59
2024-03-09,Analytics Pack,Add-on,237,3,South,70
2024-03-09,One-time Report,One-time,447,3,West,63
2024-03-10,Dashboard Add-on,Add-on,196,4,East,57
2024-03-10,Pro Plan,Subscription,99,1,North,33
2024-03-11,Analytics Pack,Add-on,158,2,South,68
2024-03-11,One-time Report,One-time,149,1,West,55
2024-03-12,Dashboard Add-on,Add-on,196,4,East,71
2024-03-12,Analytics Pack,Add-on,237,3,South,60
2024-03-13,Basic Plan,Subscription,29,1,North,22
2024-03-13,One-time Report,One-time,447,3,West,65
2024-03-14,Dashboard Add-on,Add-on,196,4,South,69
2024-03-14,Analytics Pack,Add-on,158,2,East,56
2024-03-15,Pro Plan,Subscription,198,2,North,35
2024-03-15,One-time Report,One-time,149,1,South,73
2024-03-16,Dashboard Add-on,Add-on,196,4,West,62
2024-03-16,Analytics Pack,Add-on,237,3,East,58
2024-03-17,Basic Plan,Subscription,58,2,North,27
2024-03-17,One-time Report,One-time,447,3,South,67
2024-03-18,Dashboard Add-on,Add-on,196,4,West,61
2024-03-19,Analytics Pack,Add-on,158,2,South,70
2024-03-19,One-time Report,One-time,149,1,East,58
2024-03-20,Dashboard Add-on,Add-on,196,4,West,64
2024-03-20,Pro Plan,Subscription,99,1,North,30
2024-03-21,Analytics Pack,Add-on,237,3,South,68
2024-03-21,One-time Report,One-time,447,3,West,56
2024-03-22,Dashboard Add-on,Add-on,196,4,East,71
2024-03-22,Basic Plan,Subscription,29,1,North,23
2024-03-23,Analytics Pack,Add-on,158,2,South,65
2024-03-23,One-time Report,One-time,149,1,West,60
2024-03-24,Dashboard Add-on,Add-on,196,4,South,69
2024-03-25,Analytics Pack,Add-on,237,3,East,57
2024-03-25,Pro Plan,Subscription,198,2,North,37
2024-03-26,One-time Report,One-time,149,1,South,72
2024-03-27,Dashboard Add-on,Add-on,196,4,West,63
2024-03-28,Analytics Pack,Add-on,158,2,East,58
2024-03-28,One-time Report,One-time,149,1,South,66
2024-03-29,Dashboard Add-on,Add-on,196,4,West,61
2024-03-30,Analytics Pack,Add-on,237,3,South,59
2024-03-31,One-time Report,One-time,149,1,East,64
2024-03-31,Basic Plan,Subscription,29,1,North,25
