date,product,category,sales,units_sold,region,customer_age
2024-02-01,Analytics Pack,Add-on,79,1,South,28
2024-02-02,Basic Plan,Subscription,58,2,East,44
2024-02-02,Dashboard Add-on,Add-on,196,4,West,31
2024-02-03,Enterprise Suite,Subscription,598,2,North,53
2024-02-04,Pro Plan,Subscription,297,3,South,39
2024-02-04,One-time Report,One-time,149,1,East,65
2024-02-05,Analytics Pack,Add-on,237,3,West,42
2024-02-05,Basic Plan,Subscription,29,1,North,26
2024-02-06,Dashboard Add-on,Add-on,98,2,South,35
2024-02-06,Enterprise Suite,Subscription,299,1,East,57
2024-02-07,Pro Plan,Subscription,198,2,West,30
2024-02-08,One-time Report,One-time,447,3,North,61
2024-02-08,Analytics Pack,Add-on,79,1,South,48
2024-02-09,Basic Plan,Subscription,87,3,East,23
2024-02-09,Dashboard Add-on,Add-on,49,1,West,36
2024-02-10,Pro Plan,Subscription,99,1,North,43
2024-02-11,Enterprise Suite,Subscription,897,3,South,56
2024-02-12,Analytics Pack,Add-on,158,2,East,38
2024-02-12,One-time Report,One-time,298,2,West,49
2024-02-13,Basic Plan,Subscription,58,2,North,27
2024-02-13,Dashboard Add-on,Add-on,147,3,South,34
2024-02-14,Pro Plan,Subscription,297,3,East,40
2024-02-14,Enterprise Suite,Subscription,299,1,West,52
2024-02-15,Analytics Pack,Add-on,237,3,North,35
2024-02-15,Basic Plan,Subscription,29,1,South,22
2024-02-16,One-time Report,One-time,149,1,East,58
2024-02-16,Dashboard Add-on,Add-on,196,4,West,31
2024-02-17,Pro Plan,Subscription,198,2,North,46
2024-02-18,Enterprise Suite,Subscription,598,2,South,63
2024-02-19,Analytics Pack,Add-on,79,1,East,37
2024-02-19,Basic Plan,Subscription,87,3,West,25
2024-02-20,Pro Plan,Subscription,99,1,North,41
2024-02-20,Dashboard Add-on,Add-on,98,2,South,33
2024-02-21,One-time Report,One-time,447,3,East,55
2024-02-22,Enterprise Suite,Subscription,299,1,West,60
2024-02-22,Analytics Pack,Add-on,158,2,North,44
2024-02-23,Basic Plan,Subscription,58,2,South,28
2024-02-23,Pro Plan,Subscription,297,3,East,50
2024-02-24,Dashboard Add-on,Add-on,49,1,West,32
2024-02-25,One-time Report,One-time,149,1,North,39
2024-02-25,Enterprise Suite,Subscription,897,3,South,54
2024-02-26,Analytics Pack,Add-on,237,3,East,36
2024-02-26,Basic Plan,Subscription,87,3,West,24
2024-02-27,Pro Plan,Subscription,198,2,North,47
2024-02-27,Dashboard Add-on,Add-on,147,3,South,31
2024-02-28,Enterprise Suite,Subscription,299,1,East,65
2024-02-29,One-time Report,One-time,298,2,West,42
2024-03-01,Pro Plan,Subscription,99,1,North,38
2024-03-01,Analytics Pack,Add-on,79,1,South,29
2024-03-02,Basic Plan,Subscription,87,3,East,43
2024-03-02,Dashboard Add-on,Add-on,196,4,West,35
2024-03-03,Enterprise Suite,Subscription,299,1,North,58
2024-03-04,Pro Plan,Subscription,297,3,South,41
2024-03-04,Analytics Pack,Add-on,237,3,East,36
2024-03-05,Basic Plan,Subscription,58,2,West,26
2024-03-05,One-time Report,One-time,149,1,North,62
2024-03-06,Dashboard Add-on,Add-on,98,2,South,33
2024-03-06,Enterprise Suite,Subscription,598,2,East,55
2024-03-07,Pro Plan,Subscription,198,2,West,40
2024-03-07,One-time Report,One-time,447,3,North,60
2024-03-08,Analytics Pack,Add-on,158,2,South,44
2024-03-08,Basic Plan,Subscription,29,1,East,22
2024-03-09,Dashboard Add-on,Add-on,49,1,West,31
2024-03-09,Enterprise Suite,Subscription,897,3,North,57
2024-03-10,Pro Plan,Subscription,99,1,South,35
2024-03-11,Analytics Pack,Add-on,79,1,East,49
2024-03-11,One-time Report,One-time,298,2,West,53
2024-03-12,Basic Plan,Subscription,87,3,North,28
2024-03-12,Dashboard Add-on,Add-on,147,3,South,37
2024-03-13,Pro Plan,Subscription,297,3,East,42
2024-03-13,Enterprise Suite,Subscription,299,1,West,64
2024-03-14,Analytics Pack,Add-on,237,3,North,39
2024-03-14,Basic Plan,Subscription,58,2,South,25
2024-03-15,One-time Report,One-time,149,1,East,51
2024-03-15,Dashboard Add-on,Add-on,196,4,West,34
2024-03-16,Pro Plan,Subscription,198,2,North,48
2024-03-16,Enterprise Suite,Subscription,598,2,South,61
2024-03-17,Analytics Pack,Add-on,79,1,East,36
2024-03-17,Basic Plan,Subscription,87,3,West,27
2024-03-18,Pro Plan,Subscription,99,1,North,45
2024-03-18,Dashboard Add-on,Add-on,98,2,South,32
2024-03-19,One-time Report,One-time,447,3,East,57
2024-03-19,Enterprise Suite,Subscription,299,1,West,63
2024-03-20,Analytics Pack,Add-on,158,2,North,40
2024-03-20,Basic Plan,Subscription,58,2,South,24
2024-03-21,Pro Plan,Subscription,297,3,East,53
2024-03-21,Dashboard Add-on,Add-on,49,1,West,30
2024-03-22,One-time Report,One-time,149,1,North,46
2024-03-22,Enterprise Suite,Subscription,897,3,South,56
2024-03-23,Analytics Pack,Add-on,237,3,East,38
2024-03-23,Basic Plan,Subscription,87,3,West,23
2024-03-24,Pro Plan,Subscription,198,2,North,50
2024-03-24,Dashboard Add-on,Add-on,147,3,South,35
2024-03-25,One-time Report,One-time,298,2,East,44
2024-03-25,Enterprise Suite,Subscription,299,1,West,59
2024-03-26,Analytics Pack,Add-on,79,1,North,41
2024-03-26,Pro Plan,Subscription,99,1,South,37
2024-03-27,Basic Plan,Subscription,58,2,East,29
2024-03-27,Dashboard Add-on,Add-on,196,4,West,33
2024-03-28,Enterprise Suite,Subscription,598,2,North,55
2024-03-28,Analytics Pack,Add-on,158,2,South,42
2024-03-29,Pro Plan,Subscription,297,3,East,47
2024-03-29,One-time Report,One-time,149,1,West,62
2024-03-30,Basic Plan,Subscription,87,3,North,32
2024-03-30,Dashboard Add-on,Add-on,98,2,South,39
2024-03-31,Enterprise Suite,Subscription,897,3,East,58
2024-03-31,Pro Plan,Subscription,198,2,West,44
